ticket_id,text,true_tag
398,I was charged after I already cancelled my premium account.,Refund & Cancellation
449,How do I upgrade from the free plan to premium?,General Inquiry
120,I'm getting a 500 error every time I open the API service.,Technical Issue
405,I want to cancel my mobile app and get a refund for this month.,Refund & Cancellation
213,Can you add a bulk-edit option to the premium account?,Feature Request
482,I've been a loyal customer for years and this experience has been disappointing.,Complaint
301,The package I received was damaged during shipping.,Shipping & Delivery
203,Please consider adding multi-language support to the checkout page.,Feature Request
551,I want to add a second user seat to my current plan.,Subscription Management
438,Do you offer student discounts on the web dashboard?,General Inquiry
237,Would it be possible to add dark mode to the web dashboard?,Feature Request
264,The search bar on the mobile app returns no results even for valid queries.,Bug Report
65,I'm getting a 500 error every time I open the subscription plan.,Technical Issue
101,I'm getting a 500 error every time I open the subscription plan.,Technical Issue
408,Please process a refund for the order I returned last week.,Refund & Cancellation
545,How do I downgrade my mobile app subscription?,Subscription Management
137,I can't log into my account even after resetting my password.,Account Access
35,"I was charged $100 but my plan should only cost $59, please explain.",Billing & Payments
332,"I received the wrong item in my order, I ordered a different subscription plan.",Shipping & Delivery
49,There's an unrecognized charge of $12 on my statement from your company.,Billing & Payments
563,How do I downgrade my API service subscription?,Subscription Management
533,I'm really unhappy with the quality of support I've received so far.,Complaint
426,What are the working hours for your customer support team?,General Inquiry
346,Delivery status hasn't changed from 'processing' for 3 days.,Shipping & Delivery
23,There's an unrecognized charge of $139 on my statement from your company.,Billing & Payments
444,What are the working hours for your customer support team?,General Inquiry
181,It would be great if the premium account supported exporting to Excel.,Feature Request
122,I can't log into my account even after resetting my password.,Account Access
485,I'm really unhappy with the quality of support I've received so far.,Complaint
467,Where can I find documentation for the notification settings?,General Inquiry
229,Would it be possible to add dark mode to the checkout page?,Feature Request
397,I want to cancel my subscription plan and get a refund for this month.,Refund & Cancellation
326,"I received the wrong item in my order, I ordered a different API service.",Shipping & Delivery
225,Would it be possible to add dark mode to the subscription plan?,Feature Request
560,Can I pause my subscription for a couple of months?,Subscription Management
531,I've been a loyal customer for years and this experience has been disappointing.,Complaint
510,This is the third time I'm contacting you about the same desktop software issue.,Complaint
385,I was charged after I already cancelled my checkout page.,Refund & Cancellation
441,Do you offer student discounts on the checkout page?,General Inquiry
390,How do I cancel my subscription before the next billing cycle?,Refund & Cancellation
63,Nothing loads on the web dashboard since the latest update.,Technical Issue
436,How do I upgrade from the free plan to premium?,General Inquiry
595,How do I switch from the monthly to the annual desktop software plan?,Subscription Management
314,"I received the wrong item in my order, I ordered a different API service.",Shipping & Delivery
455,What are the working hours for your customer support team?,General Inquiry
514,"Your customer service hung up on me twice today, this is unacceptable.",Complaint
416,I want to cancel my premium account and get a refund for this month.,Refund & Cancellation
333,Delivery status hasn't changed from 'processing' for 2 days.,Shipping & Delivery
280,I found a bug where deleting an item duplicates it instead.,Bug Report
469,Do you offer student discounts on the notification settings?,General Inquiry
