ticket_id,text,true_tag,label
374,Please process a refund for the order I returned last week.,Refund & Cancellation,6
498,"Your customer service hung up on me twice today, this is unacceptable.",Complaint,3
111,I'm getting a 500 error every time I open the desktop software.,Technical Issue,9
326,"I received the wrong item in my order, I ordered a different API service.",Shipping & Delivery,7
248,I found a bug where deleting an item duplicates it instead.,Bug Report,2
253,Dates are displaying incorrectly on the API service.,Bug Report,2
346,Delivery status hasn't changed from 'processing' for 3 days.,Shipping & Delivery,7
569,How do I switch from the monthly to the annual premium account plan?,Subscription Management,8
426,What are the working hours for your customer support team?,General Inquiry,5
179,I can't log into my account even after resetting my password.,Account Access,0
553,I want to add a second user seat to my current plan.,Subscription Management,8
62,The web dashboard keeps freezing whenever I try to save my work.,Technical Issue,9
291,The search bar on the mobile app returns no results even for valid queries.,Bug Report,2
414,I want to cancel my desktop software and get a refund for this month.,Refund & Cancellation,6
432,Where can I find documentation for the subscription plan?,General Inquiry,5
105,The subscription plan is extremely slow and unresponsive today.,Technical Issue,9
320,Delivery status hasn't changed from 'processing' for 7 days.,Shipping & Delivery,7
523,"Your customer service hung up on me twice today, this is unacceptable.",Complaint,3
445,What are the working hours for your customer support team?,General Inquiry,5
175,Two-factor authentication isn't sending me a code to sign in.,Account Access,0
544,How do I downgrade my mobile app subscription?,Subscription Management,8
146,Two-factor authentication isn't sending me a code to sign in.,Account Access,0
199,Can you add a bulk-edit option to the mobile app?,Feature Request,4
423,Where can I find documentation for the API service?,General Inquiry,5
502,"Your customer service hung up on me twice today, this is unacceptable.",Complaint,3
239,Can you add a bulk-edit option to the API service?,Feature Request,4
383,I was charged after I already cancelled my premium account.,Refund & Cancellation,6
268,The mobile app crashes every time I try to upload a file.,Bug Report,2
313,Delivery status hasn't changed from 'processing' for 7 days.,Shipping & Delivery,7
395,How do I cancel my subscription before the next billing cycle?,Refund & Cancellation,6
527,I'm really unhappy with the quality of support I've received so far.,Complaint,3
71,Nothing loads on the checkout page since the latest update.,Technical Issue,9
541,How do I switch from the monthly to the annual subscription plan plan?,Subscription Management,8
259,The search bar on the notification settings returns no results even for valid queries.,Bug Report,2
470,What are the working hours for your customer support team?,General Inquiry,5
120,I'm getting a 500 error every time I open the API service.,Technical Issue,9
289,Dates are displaying incorrectly on the mobile app.,Bug Report,2
534,I'm really unhappy with the quality of support I've received so far.,Complaint,3
210,Please consider adding multi-language support to the desktop software.,Feature Request,4
297,Dates are displaying incorrectly on the notification settings.,Bug Report,2
420,I was charged after I already cancelled my subscription plan.,Refund & Cancellation,6
256,Dates are displaying incorrectly on the web dashboard.,Bug Report,2
74,The web dashboard is extremely slow and unresponsive today.,Technical Issue,9
572,I want to add a second user seat to my current plan.,Subscription Management,8
38,Can you clarify why my invoice this month is higher than usual?,Billing & Payments,1
43,My credit card was billed twice for the same subscription plan order this month.,Billing & Payments,1
87,The desktop software is extremely slow and unresponsive today.,Technical Issue,9
23,There's an unrecognized charge of $139 on my statement from your company.,Billing & Payments,1
144,"It says my account is locked, but I don't know why.",Account Access,0
24,My credit card was billed twice for the same API service order this month.,Billing & Payments,1
455,What are the working hours for your customer support team?,General Inquiry,5
399,I was charged after I already cancelled my subscription plan.,Refund & Cancellation,6
119,The premium account is extremely slow and unresponsive today.,Technical Issue,9
386,I was charged after I already cancelled my subscription plan.,Refund & Cancellation,6
19,"I was charged $38 but my plan should only cost $24, please explain.",Billing & Payments,1
51,There's an unrecognized charge of $50 on my statement from your company.,Billing & Payments,1
305,My order was supposed to arrive 4 days ago and there's no tracking update.,Shipping & Delivery,7
511,This is the third time I'm contacting you about the same notification settings issue.,Complaint,3
551,I want to add a second user seat to my current plan.,Subscription Management,8
446,Where can I find documentation for the API service?,General Inquiry,5
276,Dates are displaying incorrectly on the desktop software.,Bug Report,2
164,Two-factor authentication isn't sending me a code to sign in.,Account Access,0
76,The notification settings is extremely slow and unresponsive today.,Technical Issue,9
167,"It says my account is locked, but I don't know why.",Account Access,0
590,How do I switch from the monthly to the annual notification settings plan?,Subscription Management,8
235,It would be great if the desktop software supported exporting to Excel.,Feature Request,4
353,The package I received was damaged during shipping.,Shipping & Delivery,7
376,I was charged after I already cancelled my checkout page.,Refund & Cancellation,6
373,How do I cancel my subscription before the next billing cycle?,Refund & Cancellation,6
236,Can you add a bulk-edit option to the API service?,Feature Request,4
350,Delivery status hasn't changed from 'processing' for 6 days.,Shipping & Delivery,7
545,How do I downgrade my mobile app subscription?,Subscription Management,8
241,The premium account crashes every time I try to upload a file.,Bug Report,2
97,I'm getting a 500 error every time I open the mobile app.,Technical Issue,9
220,Can you add a bulk-edit option to the API service?,Feature Request,4
473,What are the working hours for your customer support team?,General Inquiry,5
324,"I received the wrong item in my order, I ordered a different premium account.",Shipping & Delivery,7
452,How do I upgrade from the free plan to premium?,General Inquiry,5
32,"I was charged $27 but my plan should only cost $9, please explain.",Billing & Payments,1
515,I'm really unhappy with the quality of support I've received so far.,Complaint,3
116,The mobile app is extremely slow and unresponsive today.,Technical Issue,9
560,Can I pause my subscription for a couple of months?,Subscription Management,8
15,Can you clarify why my invoice this month is higher than usual?,Billing & Payments,1
433,What are the working hours for your customer support team?,General Inquiry,5
